方法,成功对数,MSD前(px),MSD后(px),MSD改善(%),MSE前,MSE后,MSE改善(%)
SIFT+RANSAC,27,56.62,20.46,63.9,0.0073,0.0256,-250.8
ECC,27,56.62,56.26,0.6,0.0073,0.0072,1.5
